   ID        Имя    Фамилия Дата рождения
0  01  Александр  Филимонов    05.11.1981
1  02   Вячеслав   Николаев    09.01.2002
2  03       Иван   Пермяков    23.09.1966
3  04        Лик   Михайлов    12.11.1956
4  05        Луи    Никитин    10.12.1984
   ID        Имя    Фамилия Дата рождения
0  01  Александр  Филимонов    05.11.1981
1  02   Вячеслав   Николаев    09.01.2002
2  03       Иван   Пермяков    23.09.1966
3  04        Лик   Михайлов    12.11.1956
4  05        Луи    Никитин    10.12.1984
   ID        Имя    Фамилия Дата рождения
0  01  Александр  Филимонов    05.11.1981
1  02   Вячеслав   Николаев    09.01.2002
2  03       Иван   Пермяков    23.09.1966
3  04        Лик   Михайлов    12.11.1956
4  05        Луи    Никитин    10.12.1984
